,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
0,1298958,,UTC,2025-03-09T00:00:00+00:00,1741478400,,,,Stade Municipal,Petit-Canal,Match Finished,FT,90.0,,377,Division d'Honneur,Guadeloupe,https://media.api-sports.io/football/leagues/377.png,https://media.api-sports.io/flags/gp.svg,2024,Regular Season - 19,True,3285,Phare du Canal,https://media.api-sports.io/football/teams/3285.png,,4401,USBM,https://media.api-sports.io/football/teams/4401.png,,2.0,2.0,,,2.0,2.0,,,,
1,1299707,,UTC,2025-03-09T00:00:00+00:00,1741478400,,,20074.0,Estadio Municipal Chino Rivas,Ayotlán,Match Cancelled,CANC,,,872,Liga Premier Serie B,Mexico,https://media.api-sports.io/football/leagues/872.png,https://media.api-sports.io/flags/mx.svg,2024,Clausura - 9,True,22054,Deportivo Ayense,https://media.api-sports.io/football/teams/22054.png,,24940,Deportivo Yautepec,https://media.api-sports.io/football/teams/24940.png,,,,,,,,,,,
2,1300618,,UTC,2025-03-09T00:00:00+00:00,1741478400,1741478400.0,1741482000.0,1075.0,Estadio Olímpico de Tapachula,Tapachula,Match Finished,FT,90.0,1.0,722,Liga Premier Serie A,Mexico,https://media.api-sports.io/football/leagues/722.png,https://media.api-sports.io/flags/mx.svg,2024,Clausura - 9,False,24954,Tapachula,https://media.api-sports.io/football/teams/24954.png,True,22048,San Juan de Aragón,https://media.api-sports.io/football/teams/22048.png,False,4.0,1.0,2.0,1.0,4.0,1.0,,,,
3,1308824,,UTC,2025-03-09T00:00:00+00:00,1741478400,,,20018.0,Hrište Kostelec na Hané,Kostelec na Hané,Match Cancelled,CANC,,,354,4. liga - Divizie E,Czech-Republic,https://media.api-sports.io/football/leagues/354.png,https://media.api-sports.io/flags/cz.svg,2024,Division E - 16,True,21618,Kostelec na Hané,https://media.api-sports.io/football/teams/21618.png,,19440,Šternberk,https://media.api-sports.io/football/teams/19440.png,,,,,,,,,,,
4,1326758,A. Calume,UTC,2025-03-09T00:00:00+00:00,1741478400,,,21623.0,Paradise Coast Sports Complex,"Naples, Florida",Not Started,NS,,,489,USL League One,USA,https://media.api-sports.io/football/leagues/489.png,https://media.api-sports.io/flags/us.svg,2025,Regular Season - 1,True,25485,Naples,https://media.api-sports.io/football/teams/25485.png,,9016,Chattanooga Red Wolves,https://media.api-sports.io/football/teams/9016.png,,,,,,,,,,,
5,1326971,N. Bensalah,UTC,2025-03-09T00:00:00+00:00,1741478400,1741478400.0,1741482000.0,21619.0,Lexington SC Stadium,"Lexington, Kentucky",Match Finished,FT,90.0,5.0,255,USL Championship,USA,https://media.api-sports.io/football/leagues/255.png,https://media.api-sports.io/flags/us.svg,2025,Regular Season - 1,True,20808,Lexington,https://media.api-sports.io/football/teams/20808.png,True,3995,Hartford Athletic,https://media.api-sports.io/football/teams/3995.png,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
6,1326972,A. Nichols,UTC,2025-03-09T00:00:00+00:00,1741478400,1741478400.0,1741482000.0,21618.0,South Dade Kia Field at Pitbull Stadium,"Miami, Florida",Match Finished,FT,90.0,6.0,255,USL Championship,USA,https://media.api-sports.io/football/leagues/255.png,https://media.api-sports.io/flags/us.svg,2025,Regular Season - 1,True,9030,Miami FC,https://media.api-sports.io/football/teams/9030.png,False,9043,Detroit City,https://media.api-sports.io/football/teams/9043.png,True,0.0,2.0,0.0,1.0,0.0,2.0,,,,
7,1326973,M. Corrigan,UTC,2025-03-09T00:00:00+00:00,1741478400,1741478400.0,1741482000.0,,First Horizon Stadium at WakeMed Soccer Park,"Cary, North Carolina",Match Finished,FT,90.0,6.0,255,USL Championship,USA,https://media.api-sports.io/football/leagues/255.png,https://media.api-sports.io/flags/us.svg,2025,Regular Season - 1,True,4005,North Carolina,https://media.api-sports.io/football/teams/4005.png,,4010,Pittsburgh Riverhounds,https://media.api-sports.io/football/teams/4010.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
8,1331070,,UTC,2025-03-09T00:00:00+00:00,1741478400,1741478400.0,1741482000.0,55.0,Estadio Juan Alberto García,"Resistencia, Provincia del Chaco",Match Finished,FT,90.0,8.0,129,Primera Nacional,Argentina,https://media.api-sports.io/football/leagues/129.png,https://media.api-sports.io/flags/ar.svg,2025,Regular Season - 5,True,1946,Chaco For Ever,https://media.api-sports.io/football/teams/1946.png,False,466,Atletico Mitre,https://media.api-sports.io/football/teams/466.png,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
9,1332596,,UTC,2025-03-09T00:00:00+00:00,1741478400,,,21018.0,Complejo Deportivo Municipal Barberena,Barberena,Match Cancelled,CANC,,,338,Primera Division,Guatemala,https://media.api-sports.io/football/leagues/338.png,https://media.api-sports.io/flags/gt.svg,2024,Clausura - 10,True,19163,Deportivo Barberena,https://media.api-sports.io/football/teams/19163.png,,24526,Chiquimulilla,https://media.api-sports.io/football/teams/24526.png,,,,,,,,,,,
